ecatalogue_key,IdeFiledAsFamily,IdeFiledAsSubfamily,DarScientificName,LotRegion_tab,LotNoOfSpecimens_tab,LotPrimaryType,LotSyntypes,LotParatypes
773,Coccinellidae,Coccinellinae,"Adalia angulifera Mulsant, 1850",Neotropical,4,,,
774,Coccinellidae,Coccinellinae,"Adalia deficiens Mulsant, 1850",Neotropical,30,,,
775,Coccinellidae,Coccinellinae,"Alesia bohemani Mulsant, 1850",Afrotropical,1,,,
776,Coccinellidae,Coccinellinae,"Alesia inclusa Mulsant, 1850","Afrotropical
Oriental","2
12",,,
777,Coccinellidae,Coccinellinae,"Hippodamia sinuata sinuata Mulsant, 1850","Nearctic
Neotropical","22
9",,,
778,Coccinellidae,Coccinellinae,"Antineda princeps Mulsant, 1850",Australian,1,,,
779,Coccinellidae,Coccinellinae,"Cheilomenes nilotica Mulsant, 1850",Palearctic,4,,,
780,Coccinellidae,Coccinellinae,"Cheilomenes propinqua vicina Mulsant, 1850","Palearctic
Afrotropical","5
3",,,
781,Coccinellidae,Coccinellinae,"Cheilomenes propinqua Mulsant, 1850",Afrotropical,15,,,
782,Coccinellidae,Coccinellinae,"Cleobora mellyi Mulsant, 1850",Australian,18,,,
783,Coccinellidae,Coccinellinae,"Clynis humilis Mulsant, 1850",Neotropical,2,,,
784,Coccinellidae,Coccinellinae,"Coelophora circumusta Mulsant, 1850",Oriental,2,,,
785,Coccinellidae,Coccinellinae,"Coelophora octosignata Mulsant, 1850",Oriental,2,,,
786,Coccinellidae,Coccinellinae,"Eriopis eschscholtzi Mulsant, 1850",Neotropical,30,,,
787,Coccinellidae,Coccinellinae,"Propylaea luteopustulata Mulsant, 1850",Oriental,12,,,
788,Coccinellidae,Coccinellinae,"Seladia nigricollis Mulsant, 1850",Neotropical,4,,,
789,Coccinellidae,Coccinellinae,"Isora anceps Mulsant, 1850",Afrotropical,6,,,
790,Coccinellidae,Coccinellinae,"Tytthaspis gebleri Mulsant, 1850","Palearctic
Oriental","1
6",,,
791,Coccinellidae,Epilachninae,"Epilachna angustata Mulsant, 1850",Neotropical,11,,,
792,Coccinellidae,Epilachninae,"Epilachna bourcieri Mulsant, 1850",Neotropical,4,,,
793,Coccinellidae,Epilachninae,"Epilachna circumcincta Mulsant, 1850",Neotropical,1,,,
794,Coccinellidae,Epilachninae,"Epilachna difficilis Mulsant, 1850",Neotropical,1,,,
795,Coccinellidae,Epilachninae,"Epilachna dregei Mulsant, 1850",Afrotropical,3,,,
796,Coccinellidae,Epilachninae,"Epilachna dumerili Mulsant, 1850",Oriental,2,,,
797,Coccinellidae,Epilachninae,"Epilachna lupina Mulsant, 1850",Afrotropical,12,,,
798,Coccinellidae,Epilachninae,"Epilachna madida Mulsant, 1850",Neotropical,4,,,
799,Coccinellidae,Epilachninae,"Epilachna mystica Mulsant, 1850",Oriental,9,,,
800,Coccinellidae,Epilachninae,"Epilachna nigrocincta Mulsant, 1850",Neotropical,1,,,
801,Coccinellidae,Epilachninae,"Epilachna octoverrucata Mulsant, 1850",Neotropical,12,,,
802,Coccinellidae,Epilachninae,"Epilachna paykullii Mulsant, 1850",Afrotropical,10,,,
803,Coccinellidae,Epilachninae,"Epilachna punctipennis Mulsant, 1850",Afrotropical,2,,,
804,Coccinellidae,Epilachninae,"Epilachna sahlbergi Mulsant, 1850",Afrotropical,3,,,
805,Coccinellidae,Epilachninae,"Epilachna spreta Mulsant, 1850",Neotropical,12,,,
806,Coccinellidae,Epilachninae,"Epilachna varivestis Mulsant, 1850","Nearctic
Neotropical","128
18",,,
807,Coccinellidae,Epilachninae,"Epilachna zetterstedti Mulsant, 1850",Afrotropical,11,,,
808,Coccinellidae,Epilachninae,"Henosepilachna pytho Mulsant, 1850",Oriental,1,,,
809,Coccinellidae,Scymninae,"Brachiacantha quadripunctata flavifrons Mulsant, 1850",Nearctic,2,,,
810,Coccinellidae,Scymninae,"Brachiacantha subfasciata Mulsant, 1850",Nearctic,1,,,
811,Coccinellidae,Scymninae,"Brachiacantha erythrura Mulsant, 1850",Neotropical,2,,,
812,Coccinellidae,Scymninae,"Brachiacantha groendali Mulsant, 1850",Neotropical,2,,,
813,Coccinellidae,Scymninae,"Diomus Mulsant, 1850","Neotropical
Australian","121
3",,,
814,Coccinellidae,Scymninae,"Hyperaspis inedita Mulsant, 1850",Nearctic,7,,,
815,Coccinellidae,Scymninae,"Hyperaspis senegalensis Mulsant, 1850",Afrotropical,1,,,
816,Coccinellidae,Scymninae,"Hyperaspis disconotata Mulsant, 1850",Nearctic,3,,,
817,Coccinellidae,Scymninae,"Hyperaspis lateralis Mulsant, 1850",Nearctic,22,,,
818,Coccinellidae,Scymninae,"Thalassa Mulsant, 1850",Neotropical,2,,,
819,Coccinellidae,Scymninae,"Scymnus (Scymnus) americanus Mulsant, 1850",Nearctic,12,,,
820,Coccinellidae,Scymninae,"Scymnus (Pullus) cervicalis Mulsant, 1850",Nearctic,22,,,
821,Coccinellidae,Scymninae,"Scymnus (Pullus) creperus Mulsant, 1850",Nearctic,12,,,
822,Coccinellidae,Scymninae,"Scymnus fraxini Mulsant, 1850",Palearctic,12,,,
823,Coccinellidae,Scymninae,"Scymnus limbaticollis Mulsant, 1850",Neotropical,1,,,
824,Coccinellidae,Scymninae,"Scymnus (Pullus) loweii Mulsant, 1850",Nearctic,22,,,
825,Coccinellidae,Scymninae,"Scymnus loewii Mulsant, 1850",Nearctic,2,,,
826,Coccinellidae,Coccinellinae,"Coccinella saucerottei Mulsant, 1850",Palearctic,1,,,
