"Year","County","Population","Area","Urban_pop","Density","Prop_urban"
1910,"Portage",30307,507.1042042,9798,59.7648367909153,0.323291648794008
1910,"Preble",23834,426.3253099,3187,55.905665102526,0.133716539397499
1910,"Putnam",29972,484.2260971,0,61.8967052364597,0
1910,"Richland",47667,500.3257215,25671,95.2719357643499,0.538548681477752
1910,"Ross",40069,692.9600379,14508,57.822959201844,0.362075419900671
1910,"Sandusky",35171,412.3483058,14661,85.2943967643191,0.416849108640641
1910,"Scioto",48463,616.0733749,23481,78.6643311892296,0.484513959102821
1910,"Seneca",42421,552.3652955,19946,76.798814743784,0.470191650361849
1910,"Shelby",24663,411.0359548,6607,60.0020502148052,0.267891173012204
1910,"Stark",122987,580.9081748,79179,211.71504436539,0.643799751193216
1910,"Summit",108253,420.0610528,82497,257.707776711071,0.762075877804772
1910,"Trumbull",52766,634.714985,23178,83.1333767864327,0.439260129628928
1910,"Tuscarawas",57035,571.4823452,26865,99.8018582359524,0.471026562636977
1910,"Union",21871,436.9747083,3576,50.0509516559588,0.163504183622148
1910,"Van Wert",29119,410.4847746,9639,70.9380756652308,0.331020982863423
1910,"Vinton",13096,414.9590297,0,31.5597421978452,0
1910,"Warren",24497,407.1390756,5357,60.1686290216649,0.218679838347553
1910,"Washington",45422,640.1477126,12923,70.9554984044475,0.284509708951609
1910,"Wayne",38058,556.3108323,9237,68.4113948359657,0.242708497556361
1910,"Williams",25198,423.0502233,6400,59.5626680053333,0.253988411778713
1910,"Wood",46330,620.5390077,7725,74.6608987108161,0.166738614288798
1910,"Wyandot",20760,407.620576,3779,50.9297155794216,0.182032755298651
1920,"Adams",22403,585.7856879,0,38.2443621665001,0
1920,"Allen",68223,406.8799787,44495,167.673524310475,0.652199404892778
1920,"Ashland",24627,426.8442626,9249,57.6955160413582,0.375563406017785
1920,"Ashtabula",65545,709.7655449,34506,92.3473962225579,0.526447478831337
1920,"Athens",50430,508.5371204,15998,99.1668021408806,0.317231806464406
1920,"Auglaize",29527,401.7178055,10974,73.5018453146459,0.371659836759576
1920,"Belmont",93193,541.3875198,38621,172.137326021899,0.414419537948129
1920,"Brown",22621,495.21664,0,45.6789981855214,0
1920,"Butler",87025,470.2001799,63269,185.08074586128,0.727020970985349
1920,"Carroll",15942,399.0057851,0,39.9543079206347,0
1920,"Champaign",25071,429.7047661,7621,58.3447100844246,0.303976706154521
1920,"Clark",80728,403.7946845,60840,199.923384578382,0.753641859082351
1920,"Clermont",28291,457.6712534,0,61.8151124629931,0
1920,"Clinton",23036,412.2846827,5037,55.8740136770063,0.218657753082132
1920,"Columbiana",83131,535.1811095,54816,155.332463206084,0.6593930062191
1920,"Coshocton",29595,567.5733154,10847,52.1430433690188,0.36651461395506
1920,"Crawford",36054,402.8284317,22112,89.5021233924487,0.613302268818994
1920,"Cuyahoga",943495,459.4089174,904188,2053.71503309004,0.958338941912782
1920,"Darke",42911,600.2857753,8638,71.4842859279061,0.201300365873552
1920,"Defiance",24549,414.1832822,8876,59.2708616089092,0.361562589107499
1920,"Delaware",26013,455.9736449,8756,57.0493498713175,0.336600930304079
1920,"Erie",39789,256.5773663,22897,155.076032519085,0.57546055442459
1920,"Fairfield",40484,508.5959272,14706,79.5995363605814,0.363254619108784
1920,"Fayette",21518,407.0773975,7962,52.8597267550331,0.370015800724974
1920,"Franklin",283951,543.3247829,237031,522.617426881228,0.834760222714482
1920,"Fulton",23445,407.319194,3035,57.5592811371418,0.129451908722542
1920,"Gallia",23311,471.1353678,6070,49.4783486725957,0.260392089571447
1920,"Geauga",15036,408.2840356,0,36.8273032716149,0
1920,"Greene",31221,416.2127896,9110,75.0121110646428,0.291790781845553
1920,"Guernsey",45352,528.2915106,15879,85.8465432247663,0.350127888516493
1920,"Hamilton",493678,412.783997,449171,1195.97175178281,0.909846094012697
1920,"Hancock",38394,533.5929542,18679,71.9537237097948,0.486508308589884
1920,"Hardin",29167,470.5338155,7690,61.9870433095366,0.26365412966709
1920,"Harrison",19625,410.7887208,0,47.7739504672398,0
1920,"Henry",23362,419.9748001,4143,55.6271471393933,0.177339268898211
1920,"Highland",27610,557.8397218,8700,49.4945033869404,0.315103223469757
1920,"Hocking",23291,423.5991399,5493,54.9835866179954,0.235842170795586
1920,"Holmes",16965,424.0182617,0,40.0100692172617,0
1920,"Huron",32424,494.5126957,14835,65.5675785110081,0.457531458179127
1920,"Jackson",27342,421.4991208,12529,64.8684627102074,0.458232755467779
1920,"Jefferson",77580,410.8725212,37808,188.817689178675,0.487342098478989
1920,"Knox",29580,529.5310711,9237,55.8607447501677,0.312271805273834
1920,"Lake",28667,231.713917,14139,123.717212894036,0.493215195172149
1920,"Lawrence",39540,457.2767256,14007,86.4684288230916,0.354248861911988
1920,"Licking",56426,688.3791723,26718,81.9693597228842,0.473505121752384
1920,"Logan",30104,466.7751359,9336,64.4935809229765,0.310124900345469
1920,"Lorain",90612,494.6682882,62005,183.177297113019,0.684291263850263
1920,"Lucas",275721,347.0145405,246359,794.551719944427,0.893508292803232
1920,"Madison",19662,465.9406905,4080,42.1985038029212,0.207506866036009
1920,"Mahoning",186310,423.3810368,152983,440.052774701883,0.82112071279051
1920,"Marion",42004,404.14415,27891,103.933212938997,0.664008189696219
1920,"Medina",26067,423.1117488,8172,61.6078378204562,0.313499827367936
1920,"Meigs",26189,432.3764235,8066,60.5699075541754,0.307991904998282
1920,"Mercer",26872,473.2922692,4226,56.7767566654351,0.157264066686514
1920,"Miami",48428,409.2189093,22304,118.342527433153,0.460560006607748
1920,"Monroe",20660,457.4577711,0,45.1626386197814,0
1920,"Montgomery",209532,464.3444281,156942,451.24262792893,0.749012084073077
1920,"Morgan",14555,421.8582103,0,34.5021138492229,0
1920,"Morrow",15570,407.3550166,0,38.2221879331583,0
1920,"Muskingum",57980,672.5903452,29569,86.2040325344831,0.509986202138669
1920,"Noble",17849,404.5847632,0,44.1168368744936,0
1920,"Ottawa",22193,267.0984085,3928,83.0892258948072,0.17699274546028
1920,"Paulding",18736,418.8962125,0,44.7270694766666,0
1920,"Perry",36098,412.5924782,6468,87.4906885299588,0.17917890187822
1920,"Pickaway",25788,506.7893478,7049,50.8850474303517,0.273344191096634
1920,"Pike",14151,443.941743,0,31.8758040286381,0
1920,"Portage",36269,507.1042042,14289,71.5217892094139,0.393972814249083
1920,"Preble",23238,426.3253099,3210,54.5076716309683,0.138135812032017
1920,"Putnam",27751,484.2260971,0,57.3100049051445,0
1920,"Richland",55178,500.3257215,33402,110.28415615846,0.60534995831672
1920,"Ross",41556,692.9600379,15831,59.9688260897909,0.380955818654346
1920,"Sandusky",37109,412.3483058,17776,89.9943069439913,0.479021261688539
1920,"Scioto",62850,616.0733749,37828,102.017069006109,0.601877486077963
1920,"Seneca",43176,552.3652955,22704,78.1656638310652,0.525847693162868
